"","scientificName"
"1","Saxifraga punctata f. minor"
"2","Dryas octopetala  subsp. alaskensis"
"3","Salix arctica  subsp. crassijulis"
"4","Stellaria ciliatosepala"
"5","Deschampsia patula"
"6","Saxifraga bronchialis f. laxa"
"7","Cassiope tetragona  subsp. tetragona"
"8","Empetrum nigrum  subsp. nigrum"
"9","Pedicularis sudetica"
"10","Eriophorum angustifolium  subsp. angustifolium"
"11","Micranthes hieraciifolia  subsp. longifolia"
"12","Oxytropis vassilczenkoi  subsp. vassilczenkoi"
"13","Vaccinium vitis-idaea var. minus"
"14","Vaccinium minus"
"15","Diapensia obovata"
"16","Luzula arcuata  subsp. unalaschkensis"
"17","Therorhodion camtschaticum  var. pumilum"
"18","Vaccinium uliginosum  subsp. microphyllum"
"19","Vaccinium vulcanorum"
"20","Artemisia borealis subsp. borealis"
"21","Anemonastrum crinitum"
"22","Anemone narcissiflora"
"23","Taraxacum lateritium"
"24","Poa lanata"
"25","Potentilla sterilis"
"26","Salix reticulata f. typica"
"27","Arctagrostis arundinacea"
"28","Antennaria friesiana  subsp. alaskana"
"29","Carex bigelowii  subsp. lugens"
"30","Carex ensifolia"
"31","Lagotis minor"
"32","Isatis glauca"
"33","Salix glauca f. longifolia"
"34","Salix glauca  var. cordifolia"
"35","Dryas integrifolia var. tenella"
"36","Polemonium villosum"
"37","Primula eximia"
"38","Anthoxanthum monticola"
"39","Juncus castaneus  subsp. leucochlamys"
"40","Hedysarum hedysaroides  subsp. arcticum"
"41","Artemisia norvegica var. villosa"
"42","Rubus arcticus var. stellatus"
"43","Thalictrum acaule"
"44","Carex acutata"
"45","Pedicularis oederi  f. rubra"
"46","Pedicularis pallasii"
"47","Salix rotundifolia  var. dodgeana"
"48","Luzula kobayasii"
"49","Androsace bungeana"
"50","Sedum decumbens"
"51","Poa alpigena"
"52","Arnica griscomii  subsp. frigida"
"53","Pedicularis refracta"
"54","Carex microchaeta  subsp. nesophila"
"55","Salix ovalifolia  var. glacialis"
"56","Salix stolonifera"
"57","Taraxacum sibiricum"
"58","Huperzia selago subsp. selago"
"59","Carex lachenalii  subsp. lachenalii"
"60","Saussurea tilesii  var. glabriuscula"
"61","Papaver radicatum subsp. alaskanum"
"62","Potentilla nivea f. arctica"
"63","Potentilla prostrata"
"64","Hippuris montana"
"65","Carex capillaris  subsp. fuscidula"
"66","Epilobium hornemannii  subsp. behringianum"
"67","Carex myosuroides"
"68","Pyrola rotundifolia  subsp. rotundifolia"
"69","Calamagrostis purpurascens  subsp. purpurascens"
"70","Lycopodium dubium"
"71","Lycopodium pungens"
"72","Oxytropis middendorffii  subsp. anadyrensis"
"73","Lycopodium alpinum"
"74","Silene apetala"
"75","Carex vaginata  var. vaginata"
"76","Taraxacum zhukovae"
"77","Arabidopsis lyrata"
"78","Eritrichium chamissonis"
"79","Viola epipsiloides"
"80","Carex decurtata"
"81","Chrysanthemum arcticum  subsp. polare"
"82","Epilobium angustifolium var. album"
"83","Allium maximowiczii"
"84","Taraxacum macilentum"
"85","Salix hastata f. tenuifoliasericea"
"86","Gastrolychnis angustiflora"
"87","Spiraea betulifolia  var. aemiliana"
"88","Mertensia simplicissima"
"89","Lupinus nootkatensis  var. nootkatensis"
"90","Artemisia kruhsiana  subsp. alaskana"
"91","Rhodiola rosea f. purpurascens"
"92","Campanula giesekiana"
"93","Aster sibiricus f. albinus"
"94","Saussurea angustifolia  var. yukonensis"
"95","Armeria maritima  subsp. sibirica"
"96","Rhododendron lapponicum subsp. alpinum"
"97","Saxifraga cespitosa f. compacta"
"98","Papaver czekanowskii"
"99","Cystopteris fragilis  subsp. fragilis"
"100","Carex simpliciuscula"
"101","Parnassia palustris  var. palustris"
"102","Corydalis pauciflora"
"103","Angelica lucida"
"104","Saxifraga oppositifolia  subsp. smalliana"
"105","Androsace septentrionalis var. typica"
"106","Cardamine pratensis  subsp. polemonioides"
"107","Calamagrostis nutkaensis"
"108","Ranunculus kamtschaticus"
"109","Festuca richardsonii"
"110","Gastrolychnis macrosperma"
"111","Taraxacum korjakorum"
"112","Arnica angustifolia  subsp. iljinii"
"113","Arnica parryi"
"114","Anthoxanthum arcticum"
"115","Ranunculus occidentalis"
"116","Ranunculus occidentalis  var. nelsonii"
"117","Carex glareosa  subsp. pribylovensis"
"118","Oxytropis ajanensis"
"119","Andryala integrifolia"
"120","Luzula melanocarpa"
"121","Luzula parviflora  subsp. parviflora"
"122","Saxifraga rivularis  subsp. arctolitoralis"
"123","Ranunculus cardiophyllus"
"124","Androsace rotundifolia"
"125","Alnus alnobetula  subsp. sinuata"
"126","Primula cuneifolia  subsp. saxifragifolia"
"127","Lathyrus vestitus  var. vestitus"
"128","Lathyrus japonicus  var. maritimus"
"129","Saxifraga tenuis"
"130","Iris setosa"
"131","Myosotis asiatica"
"132","Cystopteris fragilis  subsp. dickieana"
"133","Aster alpinus  var. serpentimontanus"
"134","Saxifraga flagellaris"
"135","Arenaria obtusiloba"
"136","Cardamine obliqua"
"137","Sibbaldia parviflora"
"138","Artemisia globularia subsp. lutea"
"139","Cardaminopsis kamtschatica"
"140","Pyrola minor f. brevis"
"141","Cardamine oligosperma  var. kamtschatica"
"142","Pulsatilla patens  subsp. multifida"
"143","Senecio tundricola subsp. lindstroemii"
"144","Leymus villosissimus"
"145","Carex nardina  var. hepburnii"
"146","Antennaria monocephala  subsp. angustata"
"147","Veronica stelleri"
"148","Solidago compacta"
"149","Polygonum ellipticum"
"150","Salix lanata f. barrattiana"
"151","Juncus arcticus  subsp. arcticus"
"152","Claytonia sibirica"
"153","Cerastium bialynickii"
"154","Trichophorum cespitosum  subsp. cespitosum"
"155","Elymus sajanensis"
"156","Empetrum nigrum  subsp. hermaphroditum"
"157","Gentianella propinqua  subsp. aleutica"
"158","Boschniakia rossica"
"159","Myosotis suaveolens"
"160","Myosotis sylvatica"
"161","Deschampsia atropurpurea"
"162","Rumex pseudoxyria"
"163","Braya purpurascens"
"164","Sabulina verna"
"165","Packera cymbalaria"
"166","Argentina anserina  subsp. groenlandica"
"167","Erigeron peregrinus  subsp. peregrinus"
"168","Pedicularis chamissonis"
"169","Athyrium filix-femina  subsp. filix-femina"
"170","Platanthera convallariifolia"
"171","Galium trifidum  subsp. halophilum"
"172","Rosa acicularis  subsp. sayi"
"173","Veronica serpyllifolia var. repens"
"174","Callitriche palustris  subsp. palustris"
"175","Epilobium ciliatum subsp. glandulosum"
"176","Epilobium glandulosum"
"177","Platanthera dilatata  var. albiflora"
"178","Potentilla stipularis var. groenlandica"
"179","Ligusticum scoticum  subsp. hultenii"
"180","Poa eminens"
"181","Pinguicula vulgaris var. minor"
"182","Taraxacum pseudoalaskanum"
"183","Ranunculus aquatilis  var. diffusus"
"184","Mertensia kamczatica"
"185","Carex borealipolaris"
"186","Antennaria dioiciformis"
"187","Carex marina  subsp. marina"
"188","Anaphalis margaritacea"
"189","Polygonum ochreatum"
"190","Polygonum riparium"
"191","Lycopodium lagopus"
"192","Physaria arctica"
"193","Bromus sitchensis  var. aleutensis"
"194","Polypodium glycyrrhiza"
"195","Taraxacum tamarae"
"196","Juncus triglumis  subsp. albescens"
"197","Draba hirta"
"198","Carex circinnata"
"199","Carex supina  var. spaniocarpa"
"200","Pinguicula ramosa"
"201","Ranunculus altaicus"
"202","Anthoxanthum nitens"
"203","Ranunculus uncinatus"
"204","Plantago macrocarpa"
"205","Campanula tschuktschorum"
"206","Heracleum maximum"
"207","Castilleja unalaschcensis"
"208","Castilleja pallida"
"209","Saxifraga pulvinaria"
"210","Hedysarum boreale  subsp. mackenziei"
"211","Cerastium arvense  subsp. strictum"
"212","Carex soczavaeana"
"213","Pyrola rotundifolia var. grandiflora"
"214","Batrachium eradicatum"
"215","Achnatherum calamagrostis"
"216","Helictotrichon dahuricum"
"217","Tripleurospermum hookeri"
"218","Carex kelloggii  var. limnophila"
"219","Pyrola asarifolia  subsp. asarifolia"
"220","Chrysosplenium serreanum"
"221","Scleranthus annuus"
"222","Potentilla pulchella subsp. gracilicaulis"
"223","Montia vassilievii"
"224","Platanthera chorisiana"
"225","Platanthera tipuloides"
"226","Rubus spectabilis"
"227","Juncus ensifolius"
"228","Juncus balticus  subsp. littoralis"
"229","Rhinanthus groenlandicus"
"230","Salix recurvigemmata"
"231","Acetosella aureostigmatica"
"232","Sorbus aucuparia  subsp. sibirica"
"233","Parasenecio auriculatus"
"234","Sibirotrisetum sibiricum"
"235","Bromus berteroanus"
"236","Veronica grandiflora"
"237","Erigeron acris  subsp. politus"
"238","Taraxacum officinale"
"239","Polemonium campanulatum"
"240","Polemonium chinense"
"241","Polemonium caeruleum f. album"
"242","Sanguisorba stipulata"
"243","Aconitum maximum"
"244","Isoetes maritima"
"245","Platanthera stricta"
"246","Thalictrum minus  subsp. kemense"
"247","Sagina maxima  subsp. crassicaulis"
"248","Veronica americana"
"249","Veronica beccabunga"
"250","Taraxacum hyparcticum"
"251","Taraxacum wrangelicum"
"252","Eritrichium arctisibiricum"
"253","Gentianella amarella  subsp. acuta"
"254","Poa tolmatchewii"
"255","Papaver minutiflorum"
"256","Campanula dasyantha  subsp. chamissonis"
"257","Thelypteris limbosperma"
"258","Juncus falcatus"
"259","Juncus falcatus  subsp. sitchensis"
"260","Odontarrhena americana"
"261","Tanacetum vulgare  subsp. vulgare"
"262","Stellaria crispa"
"263","Taraxacum uschakovii"
"264","Fragaria chiloensis"
"265","Neottia convallarioides"
"266","Galium spurium"
"267","Persicaria laxmannii"
"268","Malaxis monophyllos"
"269","Saxifraga aleutica"
"270","Artemisia laciniata  subsp. laciniata"
"271","Artemisia laciniata"
"272","Ranunculus hyperboreus subsp. tricrenatus"
"273","Ranunculus tricrenatus"
"274","Menyanthes trifoliata  var. minor"
"275","Potentilla tikhomirovii"
"276","Geum pentapetalum"
"277","Taraxacum longicorne"
"278","Athyrium cyclosorum"
"279","Athyrium asplenioides"
"280","Maianthemum dilatatum"
"281","Cirsium kamtschaticum"
"282","Trollius riederianus"
"283","Huperzia petrovii"
"284","Picea sitchensis"
"285","Oxytropis deflexa  subsp. dezhnevii"
"286","Callitriche hermaphroditica  subsp. exalata"
"287","Thelypteris quelpartensis"
"288","Acetosella krausei"
"289","Potamogeton alpinus  subsp. alpinus"
"290","Betula humilis"
"291","Stellaria borealis  subsp. sitchana"
"292","Jacobaea cannabifolia"
"293","Potentilla tschukotica"
"294","Adiantum pedatum"
"295","Carex vesicata"
"296","Cypripedium yatabeanum"
"297","Vaccinium ovalifolium f. villosum"
"298","Rumex aquaticus  subsp. protractus"
"299","Spiraea salicifolia var. carnea"
"300","Erysimum hieraciifolium var. cheiranthus"
"301","Dryopteris dilatata"
"302","Potentilla borealis"
"303","Antennaria pseudoarenicola"
"304","Pinguicula macroceras"
"305","Huperzia continentalis"
"306","Poa stenantha"
"307","Carex canescens  subsp. canescens"
"308","Romanzoffia unalaschcensis  var. glabriuscula"
"309","Ptarmica camtschatica"
"310","Pedicularis paiana"
"311","Gymnocarpium jessoense"
"312","Viola biflora f. glabrifolia"
"313","Taraxacum pseudoplatylepium"
"314","Ranunculus propinquus"
"315","Trifolium pratense  subsp. pratense"
"316","Lychnis villosula"
"317","Adiantum aleuticum"
"318","Eragrostis stolonifera"
"319","Carex spectabilis"
"320","Carex echinata  subsp. echinata"
"321","Carex leersii"
"322","Carex nigricans"
"323","Galium rubioides"
"324","Draba ochroleuca"
"325","Cerastium aleuticum"
"326","Erigeron acris  subsp. kamtschaticus"
"327","Utricularia macrorhiza"
"328","Elymus hirsutus"
"329","Lathyrus cicera"
"330","Taraxacum tolmaczevii"
"331","Taraxacum nanaunii"
"332","Taraxacum acricorne"
"333","Taraxacum petrovskyi"
"334","Fallopia dumetorum"
"335","Claytonia czukczorum"
"336","Primula farinosa f. alba"
"337","Calamagrostis kolymensis"
"338","Isoetes truncata"
"339","Carex enanderi"
"340","Carex jacutica"
"341","Carex stygia"
"342","Hypochaeris radicata f. radicata"
"343","Papaver anadyrense"
"344","Ranunculus japonicus"
"345","Astragalus arcuatus"
"346","Oxytropis evenorum"
